Company Name,Social Links/LinkeIn,complaintsTotal,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/15/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/8/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/26/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/12/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/12/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/10/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/5/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/25/22,3,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/12/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/23/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/31/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/19/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/12/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/9/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/22/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/18/21,3,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/15/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/10/21,3,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/8/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/6/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/29/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/24/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/17/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/15/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/13/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/6/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/22/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/12/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/11/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/5/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/4/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,9/28/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,9/11/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,9/10/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/16/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/11/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/10/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/19/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,7/1/21,1,254,1159,258
